Project Name,Layer Type,GitHub Repository URL,Category,Purpose/Specialization,Description
Ethereum,L1,https://github.com/ethereum/go-ethereum,General,General Purpose,"Original EVM blockchain, foundation for smart contracts"
Binance Smart Chain (BSC),L1,https://github.com/bnb-chain/bsc,General,General Purpose,"High throughput blockchain by Binance with low fees"
Polygon,L2/Sidechain,https://github.com/maticnetwork/bor,General,General Purpose,"Multi-chain scaling framework for Ethereum"
Arbitrum,L2,https://github.com/OffchainLabs/arbitrum,General,General Purpose,"Layer 2 optimistic rollup scaling solution"
Optimism,L2,https://github.com/ethereum-optimism/optimism,General,General Purpose,"Layer 2 optimistic rollup with focus on public goods"
Base,L2,https://github.com/base-org/node,General,Consumer Apps,"Coinbase's L2 built on OP Stack for consumer adoption"
Avalanche C-Chain,L1,https://github.com/ava-labs/avalanchego,General,Enterprise/Gaming,"Subnet architecture with EVM compatibility on C-Chain"
Fantom,L1,https://github.com/Fantom-foundation/go-opera,General,DeFi,"High-speed transactions for DeFi applications"
zkSync Era,L2,https://github.com/matter-labs/zksync-era,General,General Purpose,"zkRollup Layer 2 with zero-knowledge proofs"
Polygon zkEVM,L2,https://github.com/0xPolygonHermez/zkevm-node,General,General Purpose,"Zero-knowledge Ethereum Virtual Machine"
Moonbeam,L1,https://github.com/PureStake/moonbeam,General,Cross-chain,"Polkadot parachain with full EVM implementation"
Harmony,L1,https://github.com/harmony-one/harmony,General,General Purpose,"Scalable blockchain with Ethereum compatibility"
Cronos,L1,https://github.com/crypto-org-chain/cronos,General,General Purpose,"Crypto.com's blockchain for DeFi and NFTs"
Aurora,L2,https://github.com/aurora-is-near/aurora-engine,General,General Purpose,"Ethereum L2 built on NEAR Protocol"
Celo,L1,https://github.com/celo-org/celo-blockchain,Industry Specific,Mobile Payments,"Mobile-first blockchain for financial inclusion"
Klaytn,L1,https://github.com/klaytn/klaytn,General,User Experience,"Kakao's blockchain focused on user-friendly experiences"
Boba Network,L2,https://github.com/bobanetwork/boba,General,Hybrid Compute,"L2 with optimistic rollups and hybrid compute"
Metis,L2,https://github.com/MetisProtocol/metis,General,DAOs,"Layer 2 focused on decentralized autonomous companies"
Fuse,L1,https://github.com/fuseio/fuse-network,Industry Specific,Mobile Payments,"Focused on mobile payments and community tokens"
xDai Chain (Gnosis Chain),L1,https://github.com/gnosischain/client-spec,General,Stable Payments,"Stable payment blockchain with low fees"
